_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
68.3088,CXOGlb J002419.3-720431,XB,00 24 19.374,-72 04 31.26,120,83,0,,,,19.985,,,,,,,,,3,6.080725,-72.07535
68.3922,2MASS J00241142-7205556,Star,00 24 11.428,-72 05 55.60,70,60,0,,,14.178,12.563,,10.59,9.88,9.74,,,,,2,6.047617,-72.098778
68.4433,Cl* NGC  104  AGBWF  2-4,EB*,00 24 09.834,-72 03 47.95,158,100,90,,,,19.25,,,,,,,,,2,6.040975,-72.063319
68.9598,[MA2000]  9,Radio,00 24 19.37,-72 05 17.2,,,,,,,,,,,,,,,,2,6.080708,-72.088111
69.0176,Cl* NGC  104    MAM    eta,Star,00 24 19.25,-72 05 18.8,,,,,,,,,,,,,,,,1,6.080208,-72.088556
69.3061,Cl* NGC  104    FBV      39,Star,00 24 19.3,-72 05 19,,,,,,13.51,11.93,,,,,,,,,2,6.080417,-72.088611
70.1275,Cl* NGC  104     LW      18,V*,00 24 20.53499,-72 04 49.6708,0.03,0.026,90,5.617,-1.549,,11.91,,7.863,6.978,6.724,,,,,4,6.085562,-72.080464
70.2899,Cl* NGC  104  AGBWF  4-14,BYDra,00 24 09.5175,-72 06 00.822,,,,,,,18.18,,,,,,,,,1,6.039656,-72.100228
71.0065,2MASS J00241299-7203515,AGB*,00 24 12.99432,-72 03 51.5628,70,70,58,,,14.078,12.947,,10.831,10.188,10.029,,,,,1,6.054143,-72.064323
71.2657,CXOGlb J002352.4-720533,X,00 23 52.544,-72 05 32.99,,,,,,,,,,,,,,,,2,5.968933,-72.092497
71.2662,CXOGlb J002405.1-720604,XB,00 24 05.156,-72 06 04.46,60,42,0,,,,,,,,,,,,,3,6.021483,-72.101239
71.3844,2MASS J00242066-7204430,RGB*,00 24 20.669,-72 04 43.06,360,320,74,,,14.985,13.975,,12.01,,,,,,,3,6.086121,-72.078628
72.522,PSR J0024-7204C,Pulsar,00 23 50.371,-72 04 31.44,65,60,90,5.2,-3.1,,,,,,,,,,,57,5.959879,-72.0754
72.5499,[GLS2013] 47 Tuc  82070,HB*,00 24 15.22984,-72 05 49.6810,0.048,0.037,90,4.701,-2.46,,,,,,,,,,,1,6.063458,-72.097134
72.8819,Cl* NGC  104  AGBWF  4-16,CataclyV*,00 24 04.61,-72 06 06.0,,,,,,,24.07,,,,,,,,,3,6.019208,-72.101667
72.9396,[CBG2009] NGC  104   24665,RGB*,00 24 21.090,-72 04 46.19,200,200,90,,,14.109,12.943,,,,,,,,,3,6.087875,-72.079497
73.2674,2MASS J00234949-7204500,RGB*,00 23 49.49760,-72 04 50.0952,120,110,0,,,13.37,11.766,,,7.697,,,,,,1,5.95624,-72.080582
73.4706,[GLS2013] 47 Tuc  81468,HB*,00 23 58.775,-72 06 00.10,70,60,5,,,,,,11.904,11.58,11.492,,,,,1,5.994896,-72.100028
74.0863,CXOGlb J002421.2-720503,BYDra,00 24 21.272,-72 05 03.02,134,120,89,,,,19.669,,,,,,,,,2,6.088633,-72.084172
74.1047,Cl* NGC  104  AGBWF  3-20,BYDra,00 24 19.8193,-72 05 25.453,,,,,,,21.514,,,,,,,,,1,6.08258,-72.090404
74.2893,Cl* NGC  104    MAM    zet,Star,00 24 04.21,-72 06 07.3,,,,,,,,,,,,,,,,1,6.017542,-72.102028
74.4256,2MASS J00240427-7206074,AGB*,00 24 04.27924,-72 06 07.4588,0.042,0.027,90,6.742,-2.685,,,,10.814,10.124,10.021,,,,,1,6.01783,-72.102072
74.9084,2MASS J00235849-7203453,RGB*,00 23 58.50693,-72 03 45.3009,0.063,0.063,90,6.176,-2.8,14.618,13.582,,11.679,11.073,10.988,,,,,3,5.993779,-72.062584
75.15,CXOGlb J002351.8-720411,X,00 23 51.822,-72 04 11.46,180,116,0,,,,,,,,,,,,,1,5.965925,-72.06985
75.4356,Cl* NGC  104  AGBWF  4-1,EB*,00 24 04.7093,-72 06 08.576,,,,,,,19.276,,,,,,,,,1,6.019622,-72.102382
75.4863,Cl* NGC  104      R       8,AGB*,00 23 50.534,-72 04 21.34,70,60,0,,,13.305,11.797,,8.876,8.03,7.835,K0II/III,,,,8,5.960558,-72.072594
76.1501,[MBV2011] 25934,Star,00 24 21.48,-72 04 37.0,,,,,,,,,,,,,,,,1,6.0895,-72.076944
76.3074,CXOGlb J002354.5-720355,X,00 23 54.571,-72 03 55.39,130,70,90,,,,,,,,,,,,,1,5.977379,-72.065386
76.3403,CXOGlb J002420.9-720518,X,00 24 20.936,-72 05 18.93,160,111,72,,,,,,,,,,,,,2,6.087233,-72.088592
76.8689,CXOGlb J002421.4-720433,X,00 24 21.437,-72 04 33.16,80,74,0,,,,,,,,,,,,,1,6.089321,-72.075878
77.1745,[GLS2013] 47 Tuc  81001,HB*,00 24 01.43070,-72 06 08.2174,0.033,0.036,90,5.538,-2.653,,,,,,,,,,,1,6.005961,-72.102283
77.9844,CXOGlb J002350.4-720530,X,00 23 50.460,-72 05 30.03,170,134,64,,,,,,,,,,,,,1,5.96025,-72.091675
78.1868,2MASS J00234943-7204266,RGB*,00 23 49.430,-72 04 26.61,70,60,5,,,14.132,12.966,,10.73,10.04,9.913,,,,,3,5.955958,-72.074058
78.24,Cl* NGC  104  AGBWF  4-26,CataclyV*,00 24 14.80,-72 05 58.2,,,,,,,17.694,,,,,,,,,2,6.061667,-72.0995
78.3374,2MASS J00241655-7205521,AGB*,00 24 16.55232,-72 05 52.1124,70,60,0,,,13.913,12.897,,10.977,10.415,10.337,,,,,3,6.068968,-72.097809
79.0145,CXOGlb J002417.5-720357,X,00 24 17.532,-72 03 57.66,80,70,0,,,,,,,,,,,,,4,6.07305,-72.066017
79.2908,Cl* NGC  104  AGBWF  4-13,BYDra,00 24 13.0519,-72 06 04.108,,,,,,,20.911,,,,,,,,,1,6.054383,-72.101141
79.9633,[GLS2013] 47 Tuc  81656,HB*,00 23 54.863,-72 05 56.84,,,,,,,,,,,,,,,,1,5.978596,-72.099122
80.0393,Cl* NGC  104      R      11,AGB*,00 24 21.68864,-72 04 26.2788,0.025,0.021,90,4.332,-3.031,13.048,11.503,,,,,K4II-III,,,,6,6.090369,-72.073966
80.125,[CBG2009] NGC  104   27551,RGB*,00 24 18.629,-72 04 01.56,200,200,90,,,15.319,14.399,,,,,,,,,3,6.077621,-72.0671
80.127,OGLE SMC-ECL- 6244,EB*,00 24 03.57,-72 03 33.5,230,230,90,,,,16.863,,,,,,,,,1,6.014875,-72.059306
80.1912,[GLS2013] 47 Tuc  82339,HB*,00 24 18.61151,-72 05 45.0941,0.136,0.078,90,5.529,-2.359,,,,12.437,11.997,11.928,,,,,1,6.077548,-72.095859
80.216,PSR J0024-7204P,Pulsar,00 24 20.0,-72 04 10,,,,4.9,-2.7,,,,,,,,,,,15,6.083333,-72.069444
80.6795,Cl* NGC  104  AGBWF  3-17,BYDra,00 24 21.7737,-72 04 25.483,,,,,,,19.875,,,,,,,,,1,6.090724,-72.073745
81.2194,Cl* NGC  104  AGBWF  2-30,CataclyV*,00 24 14.8416,-72 03 44.793,,,,,,,21.295,,,,,,,,,4,6.06184,-72.062442
81.4466,[GLS2013] 47 Tuc  80725,HB*,00 24 08.913,-72 06 12.98,,,,,,,,,,,,,,,,1,6.037138,-72.103606
81.5289,[GLS2013] 47 Tuc  86062,HB*,00 24 22.824,-72 04 40.98,70,60,0,,,,,,12.104,11.558,11.567,,,,,1,6.0951,-72.07805
81.835,2MASS J00234947-7205298,AGB*,00 23 49.49340,-72 05 29.7903,0.031,0.034,90,5.115,-2.47,13.641,12.281,,9.859,9.118,8.909,,,,,3,5.956223,-72.091608
81.9335,Cl* NGC  104  AGBWF  2-39,V*,00 24 12.5795,-72 03 38.357,,,,,,,12.432,,,,,,,,,1,6.052415,-72.060655
81.9848,CXOGlb J002356.9-720341,X,00 23 56.915,-72 03 41.08,80,74,0,,,,,,,,,,,,,2,5.987146,-72.061411
82.1263,CXOGlb J002353.9-720350,X,00 23 53.982,-72 03 50.07,14,10,90,,,14.28,13.07,,,,,,,,,16,5.974925,-72.063908
82.3199,2MASS J00241282-7203385,RGB*,00 24 12.81096,-72 03 38.4168,0.042,0.039,90,5.029,-3.21,13.853,12.59,,10.13,9.45,9.209,,,,,3,6.053379,-72.060671
82.45,Cl* NGC  104  AGBWF  4-23,V*,00 24 06.6003,-72 06 15.451,,,,,,,12.53,,,,,,,,,1,6.027501,-72.104292
82.6666,[MSH2015] J002352.358-720356.36,Radio,00 23 52.358,-72 03 56.36,,,,,,,,,,,,,,,,1,5.968158,-72.065656
82.712,CXOGlb J002350.6-720541,X,00 23 50.806,-72 05 41.51,,,,,,,,,,,,,,,,3,5.961692,-72.094864
83.2193,[MMC2016] N104i-200149,Star,00 24 20.13,-72 04 05.5,,,,,,17.425,16.648,,,,,,,,,1,6.083875,-72.068194
83.3775,CXOGlb J002404.9-720329,X,00 24 04.989,-72 03 29.84,120,116,0,,,,,,,,,,,,,2,6.020788,-72.058289
83.8025,Cl* NGC  104    FBV      31,Star,00 24 07.11768,-72 03 29.7919,0.025,0.018,90,3.961,-2.957,13.48,11.86,,8.948,8.098,7.864,,,,,2,6.029657,-72.058276
83.9916,[GLS2013] 47 Tuc  84918,HB*,00 23 47.208,-72 04 59.40,,,,,,,,,,,,,,,,1,5.9467,-72.083167
84.2226,2MASS J00241142-7206126,AGB*,00 24 11.43663,-72 06 12.6209,0.126,0.069,90,6.824,-2.567,,,,11.18,10.56,10.44,,,,,3,6.047653,-72.103506
84.5276,CXOGlb J002407.6-720329,X,00 24 07.689,-72 03 29.36,158,110,89,,,,,,,,,,,,,1,6.032038,-72.058156
84.5399,CXOGlb J002422.5-720423,X,00 24 22.528,-72 04 23.77,80,60,0,,,,,,,,,,,,,1,6.093867,-72.073269
84.9505,[GLS2013] 47 Tuc  90272,HB*,00 24 08.946,-72 03 29.88,,,,,,,,,,,,,,,,1,6.037275,-72.0583
85.5533,Cl* NGC  104      A      19,Star,00 24 21.73722,-72 04 13.1644,0.042,0.038,90,5.479,-2.025,,13.52,,7.985,7.02,6.745,,,,,5,6.090572,-72.070323
85.6606,CXOGlb J002417.2-720559,X,00 24 17.218,-72 05 59.12,204,100,90,,,,,,,,,,,,,1,6.071742,-72.099756
86.5586,CXOGlb J002349.2-720537,X,00 23 49.235,-72 05 37.46,144,120,90,,,,,,,,,,,,,1,5.955146,-72.093739
86.8649,[GLS2013] 47 Tuc  80717,HB*,00 24 12.67764,-72 06 13.2382,0.129,0.199,90,5.103,-0.867,,,,12.585,12.169,12.073,,,,,1,6.052824,-72.103677
87.4613,CXOGlb J002407.5-720620,BYDra,00 24 07.523,-72 06 20.09,148,130,90,,,,20.67,,,,,,,,,2,6.031346,-72.105581
87.6582,Cl* NGC  104     LW      19,V*,00 24 23.17533,-72 04 22.8610,0.037,0.026,90,4.074,-2.641,,11.85,,8.292,7.422,7.117,,,,,5,6.096564,-72.073017
87.7947,CXOGlb J002413.7-720334,V*,00 24 13.764,-72 03 34.45,51,50,90,,,,17.141,,,,,,,,,2,6.05735,-72.059569
87.8623,[GLS2013] 47 Tuc  80963,HB*,00 24 15.084,-72 06 08.75,,,,,,,,,,,,,,,,1,6.06285,-72.102431
88.5702,Cl* NGC  104  AGBWF  3-24,BYDra,00 24 24.5505,-72 04 53.861,,,,,,,22.16,,,,,,,,,1,6.102294,-72.081628
88.5796,[MA2000]  7,Radio,00 24 13.22,-72 03 32.4,,,,,,,,,,,,,,,,3,6.055083,-72.059
88.6616,Cl* NGC  104    FBV      25,Star,00 23 58.15209,-72 03 31.0215,0.024,0.019,90,4.482,-2.579,13.55,11.94,,9.224,8.34,8.133,,,,,2,5.9923,-72.058617
88.6646,[FG2000] 47 Tuc 3,Radio,00 24 13.36,-72 03 32.6,,,,,,,,,,,,,,,,1,6.055667,-72.059056
88.689,CXOGlb J002403.8-720621,CataclyV*,00 24 03.835,-72 06 21.61,30,23,0,,,,,,,,,,,,,6,6.015979,-72.106003
88.8956,Cl* NGC  104  AGBWF  2-8,Star,00 24 15.1166,-72 03 36.569,,,,,,,21.277,,,,,,,,,3,6.062986,-72.060158
89.0281,CXOGlb J002345.9-720458,X,00 23 46.13,-72 05 00.4,120,110,163,,,,,,11.726,,,,,,,1,5.942208,-72.083444
89.1997,Cl* NGC  104     LW       6,V*,00 23 54.67,-72 03 38.9,70,60,0,,,13.47,11.85,,8.422,7.524,7.254,,,,,4,5.977792,-72.060806
89.2384,CXOGlb J002424.6-720500,BYDra,00 24 24.638,-72 05 00.15,120,107,0,,,,20.294,,,,,,,,,2,6.102658,-72.083375
89.2396,Cl* NGC  104  AGBWF  4-15,BYDra,00 24 08.1056,-72 06 21.536,,,,,,,21.813,,,,,,,,,1,6.033773,-72.105982
89.4613,Cl* NGC  104  AGBWF  4-22,V*,00 24 20.0184,-72 05 51.770,,,,,,,12.477,,,,,,,,,1,6.08341,-72.097714
89.4806,Cl* NGC  104  AGBWF  3-13,BYDra,00 24 22.8584,-72 05 31.781,,,,,,,17.582,,,,,,,,,1,6.095243,-72.092161
89.6644,CXOGlb J002354.5-720607,X,00 23 54.587,-72 06 07.84,111,100,89,,,,,,,,,,,,,3,5.977446,-72.102178
89.7349,Cl* NGC  104    SAW V21,V*,00 23 50.37577,-72 05 50.4286,0.046,0.038,90,5.525,-3.532,13.9,12.21,,7.953,7.01,6.739,,,,,14,5.959899,-72.097341
89.8149,CXOGlb J002416.1-720338,X,00 24 16.129,-72 03 38.41,111,110,89,,,,,,,,,,,,,1,6.067204,-72.060669
89.8207,Cl* NGC  104    FBV      44,Star,00 24 24.8,-72 04 49,,,,,,13.48,11.8,,,,,,,,,2,6.103333,-72.080278
89.8251,2MASS J00234700-7205231,AGB*,00 23 47.00376,-72 05 23.1360,70,60,175,,,13.991,12.937,,10.964,10.408,10.272,,,,,1,5.945849,-72.08976
89.8637,[MMC2016] N104i-201037,Star,00 23 48.81,-72 05 40.6,,,,,,17.811,17.112,,,,,,,,,1,5.953375,-72.094611
89.9626,UCAC3 36-2199,Star,00 23 45.889,-72 04 48.83,70,60,0,,,,,,12.02,11.53,11.48,,,,,1,5.941204,-72.080231
90.1947,2MASS J00235852-7206177,AGB*,00 23 58.526,-72 06 17.71,70,60,0,,,,,,11.01,10.44,10.32,,,,,3,5.993858,-72.104919
90.2319,[MBV2011] 11809,Star,00 23 48.85,-72 04 04.9,,,,,,,,,,,,,,,,1,5.953542,-72.068028
90.5313,Cl* NGC  104    FBV      40,Star,00 24 20.30,-72 05 51.9,70,60,0,,,12.1,,,9.914,9.174,9.01,,,,,3,6.084583,-72.09775
90.7733,CXOGlb J002411.0-720620,CataclyV*,00 24 11.090,-72 06 20.04,30,28,0,,,,,,,,,,,,,6,6.046208,-72.105567
91.0307,2MASS J00242435-7204286,AGB*,00 24 24.35256,-72 04 28.6968,70,60,0,5.416,-2.606,13.906,12.77,,10.816,10.144,10.042,,,,,3,6.101469,-72.074638
91.0738,[GLS2013] 47 Tuc  87295,HB*,00 24 23.655,-72 04 19.12,,,,,,,,,,,,,,,,1,6.098563,-72.071978
91.4105,Cl* NGC  104      R      79,V*,00 23 51.25401,-72 03 49.0551,0.028,0.022,90,5.164,-3.773,13.47,11.7,,8.474,7.52,7.321,K2II,,,,8,5.963558,-72.063626
91.808,CXOGlb J002419.7-720349,X,00 24 19.701,-72 03 49.61,153,120,90,,,,,,,,,,,,,1,6.082088,-72.063781
92.2814,Cl* NGC  104  AGBWF  2-26,BYDra,00 24 22.4470,-72 04 05.321,,,,,,,20.312,,,,,,,,,1,6.093529,-72.068145
92.3009,Cl* NGC  104  AGBWF  3-5,EB*,00 24 25.127,-72 05 07.29,88,80,90,,,,17.04,,,,,,,,,4,6.104696,-72.085358
92.4464,2MASS J00241161-7203253,AGB*,00 24 11.61960,-72 03 25.3908,70,60,0,,,13.417,11.961,,9.221,8.357,8.163,,,,,2,6.048415,-72.057053
92.5151,Cl* NGC  104  AGBWF  2-16,BYDra,00 24 14.9671,-72 03 32.018,,,,,,,21.491,,,,,,,,,1,6.062363,-72.058894
92.8693,CXOGlb J002351.9-720343,X,00 23 51.989,-72 03 43.82,140,130,0,,,,,,,,,,,,,1,5.966621,-72.062172
93.0948,[GLS2013] 47 Tuc  80029,HB*,00 24 03.239,-72 06 25.78,70,60,5,,,,,,12.659,12.189,12.152,,,,,1,6.013496,-72.107161
93.1485,CXOGlb J002418.8-720602,XB,00 24 18.795,-72 06 02.74,110,93,0,,,,19.147,,,,,,,,,3,6.078313,-72.100761
93.8294,2MASS J00240912-7203209,RGB*,00 24 09.129,-72 03 21.00,80,70,5,,,15.068,14.085,,12.21,11.66,11.54,,,,,3,6.038038,-72.055833
93.9696,Cl* NGC  104  AGBWF  3-6,Star,00 24 25.4577,-72 04 38.204,,,,,,22.9,22.929,,,,,,,,,3,6.106074,-72.077279
94.2085,CXOGlb J002423.9-720414,X,00 24 23.926,-72 04 14.10,209,100,90,,,,,,,,,,,,,1,6.099692,-72.070583
94.4104,GES J00241708-7206106,Star,00 24 17.0800,-72 06 10.600,,,,,,,,,,,,,,,,2,6.071167,-72.102944
94.6937,Cl* NGC  104  AGBWF  4-25,V*,00 24 20.2301,-72 05 58.480,,,,,,,12.387,,,,,,,,,1,6.084292,-72.099578
95.3869,CXOGlb J002418.5-720606,X,00 24 18.543,-72 06 06.69,140,97,0,,,,,,,,,,,,,1,6.077263,-72.101858
95.7834,Cl* NGC  104    FBV      41,Star,00 24 20.51,-72 05 58.7,70,60,0,,,13.59,12.17,,9.922,9.101,8.981,,,,,2,6.085458,-72.099639
95.8712,2MASS J00240275-7203181,RGB*,00 24 02.76703,-72 03 18.0790,0.028,0.023,90,5.348,-1.565,13.748,12.395,,9.86,9.07,8.93,,,,,3,6.011529,-72.055022
95.8836,[MBV2011] 26686,Star,00 24 23.25,-72 05 42.0,,,,,,,,,,,,,,,,1,6.096875,-72.095
96.0755,Cl* NGC  104    FBV      43,Star,00 24 23.360,-72 04 04.99,70,60,0,,,13.46,,,9.501,8.89,8.5,,,,,2,6.097333,-72.068053
96.4602,2MASS J00240728-7206292,RGB*,00 24 07.286,-72 06 29.25,70,60,5,,,15.109,14.163,,12.32,11.71,11.63,,,,,3,6.030358,-72.108125
96.5937,[MBV2011] 12793,Star,00 23 51.16,-72 06 04.2,,,,,,,,,,,,,,,,1,5.963167,-72.101167
96.612,CXOGlb J002349.2-720351,X,00 23 49.268,-72 03 51.44,60,56,0,,,,,,,,,,,,,1,5.955283,-72.064289
96.7732,[GLS2013] 47 Tuc  90966,HB*,00 24 01.128,-72 03 18.42,,,,,,,,,,,,,,,,1,6.0047,-72.055117
97.4208,CXOGlb J002405.2-720315,X,00 24 05.274,-72 03 15.78,130,116,0,,,,,,,,,,,,,1,6.021975,-72.054383
98.8622,2MASS J00241003-7206296,AGB*,00 24 10.03128,-72 06 29.6856,70,60,0,,,14.214,13.164,,11.261,10.658,10.584,,,,,3,6.041797,-72.108246
99.0688,CXOGlb J002418.4-720334,X,00 24 18.486,-72 03 34.84,80,79,0,,,,,,,,,,,,,2,6.077025,-72.059678
100.6973,[GLS2013] 47 Tuc  81868,HB*,00 23 47.87042,-72 05 53.4648,0.723,0.634,90,,,,,,,,,,,,,1,5.94946,-72.098185
101.6464,CXOGlb J002419.3-720334,X,00 24 19.364,-72 03 34.78,20,19,0,,,,,,,,,,,,,1,6.080683,-72.059661
101.7119,[GLS2013] 47 Tuc  91378,HB*,00 24 04.591,-72 03 11.55,70,60,0,,,,,,12.51,12.044,12.117,,,,,1,6.019129,-72.053208
101.7222,CXOGlb J002346.3-720401,X,00 23 46.329,-72 04 01.93,144,130,90,,,,,,,,,,,,,1,5.943037,-72.067203
101.8411,Cl* NGC  104    TUC    1734,Star,00 24 26.380,-72 04 22.28,,,,,,,,,,,,,,,,1,6.109917,-72.072856
102.5506,Cl* NGC  104  AGBWF  4-17,Star,00 24 11.5517,-72 06 31.694,,,,,,,17.567,,,,,,,,,1,6.048132,-72.108804
103.2968,Cl* NGC  104    FBV       9,Star,00 23 47.1,-72 05 53,,,,,,13.52,12.03,,,,,,,,,2,5.94625,-72.098056
103.3144,Cl* NGC  104    FBV       8,Star,00 23 44.80322,-72 05 34.1896,0.028,0.023,90,5.492,-2.864,13.59,12.22,,10.178,9.492,9.319,,,,,3,5.93668,-72.09283
103.8185,2MASS J00235348-7206213,AGB*,00 23 53.48160,-72 06 21.3912,70,60,0,,,14.131,13.105,,11.231,10.622,10.562,,,,,3,5.97284,-72.105942
103.8437,[GHE2001] W231,X,00 24 18.068,-72 06 18.92,160,121,0,,,,,,,,,,,,,2,6.075283,-72.105256
104.2827,Cl* NGC  104  AGBWF  3-18,BYDra,00 24 26.8360,-72 05 25.692,,,,,,,19.728,,,,,,,,,1,6.111817,-72.09047
104.9126,Cl* NGC  104    TUC    1331,Star,00 23 42.940,-72 05 10.66,,,,,,15.41,,,,,,,,,,1,5.928917,-72.086294
105.0307,Cl* NGC  104    ODS      14,Star,00 23 45.59,-72 05 45.3,,,,,,,,,,,,,,,,3,5.939958,-72.095917
105.4648,[GLS2013] 47 Tuc  85126,HB*,00 24 28.206,-72 04 55.65,,,,,,,,,,,,,,,,1,6.117525,-72.082125
105.803,2MASS J00234806-7206026,RGB*,00 23 48.062,-72 06 02.69,70,60,0,,,14.931,13.921,,12.103,11.465,11.395,,,,,3,5.950258,-72.100747
105.8642,Cl* NGC  104    TUC    1697,Star,00 24 23.148,-72 06 00.09,,,,,,15.54,,,,,,,,,,1,6.09645,-72.100025
105.9862,[GLS2013] 47 Tuc  90038,HB*,00 23 50.190,-72 03 33.66,70,60,5,,,,,,12.482,12.024,11.955,,,,,1,5.959125,-72.05935
105.993,Cl* NGC  104    TUC    1698,Star,00 24 23.154,-72 06 00.26,,,,,,,,,,,,,,,,1,6.096475,-72.100072
106.1712,2MASS J00240330-7203075,AGB*,00 24 03.31518,-72 03 07.4493,0.034,0.021,90,6.08,-3.397,,,,10.603,9.89,9.808,,,,,1,6.013813,-72.052069
106.557,2MASS J00242763-7205213,AGB*,00 24 27.63482,-72 05 21.3166,0.039,0.04,90,6.375,-2.475,14.077,12.991,,11.004,10.428,10.24,,,,,4,6.115145,-72.089255
106.9903,2MASS J00242846-7205019,AGB*,00 24 28.46676,-72 05 01.9166,0.03,0.041,90,6.275,-3.16,14.151,13.091,,11.176,10.58,10.425,,,,,4,6.118612,-72.083866
107.7975,Cl* NGC  104  AGBWF  3-25,V*,00 24 28.5997,-72 04 42.486,,,,,,,12.132,,,,,,,,,1,6.119165,-72.078468
107.9147,Cl* NGC  104  AGBWF  3-19,BYDra,00 24 28.6891,-72 05 00.584,,,,,,,22.996,,,,,,,,,1,6.119538,-72.083496
108.3191,Cl* NGC  104    FBV      42,Star,00 24 21.03,-72 03 32.6,70,60,0,,,13.5,11.8,,9.735,9.004,8.794,,,,,2,6.087625,-72.059056
108.3609,[GLS2013] 47 Tuc  91316,HB*,00 24 13.920,-72 03 12.31,,,,,,,,,,,,,,,,1,6.058,-72.053419
109.0683,[CBG2009] NGC  104   31223,RGB*,00 24 06.411,-72 03 04.24,200,200,90,,,15.496,14.56,,,,,,,,,3,6.026713,-72.051178
109.5481,CXOGlb J002347.9-720607,X,00 23 47.912,-72 06 07.53,210,148,104,,,,,,,,,,,,,1,5.949633,-72.102092
109.5607,GB07 TUC1002,RGB*,00 23 41.70784,-72 05 02.7742,0.034,0.044,90,4.656,-3.67,,13.052,,,,,,,,,1,5.923783,-72.084104
109.6882,Cl* NGC  104    FBV      35,Star,00 24 14.27,-72 06 34.9,70,60,0,,,13.48,12.19,,10.362,9.727,9.582,,,,,3,6.059458,-72.109694
109.7329,Cl* NGC  104    TUC    1593,Star,00 24 10.824,-72 06 40.00,,,,,,,,,,,,,,,,1,6.0451,-72.111111
109.9193,[CBG2009] NGC  104   20701,RGB*,00 24 25.647,-72 05 50.85,200,200,90,,,14.941,13.974,,,,,,,,,3,6.106863,-72.097458
110.5186,Cl* NGC  104    TUC    1349,Star,00 23 44.49992,-72 03 58.9777,0.045,0.042,90,4.738,-2.583,14.4,,,10.852,10.188,10.049,,,,,1,5.935416,-72.066383
111.7915,Cl* NGC  104    SAW V1,AGB*,00 24 12.66446,-72 06 39.7950,0.091,0.078,90,6.333,-2.205,,11.65,,7.607,6.881,6.382,M2/3Ibe,,,,32,6.052769,-72.111054
111.8354,2MASS J00235836-7203061,RGB*,00 23 58.366,-72 03 06.13,70,60,0,,,15.319,14.385,,12.53,12,11.87,,,,,3,5.993192,-72.051703
112.927,CXOGlb J002414.2-720308,X,00 24 14.209,-72 03 07.93,150,83,0,,,,,,,,,,,,,1,6.059204,-72.052203
113.2822,CXOGlb J002341.1-720511,X,00 23 41.141,-72 05 11.77,140,88,0,,,,,,,,,,,,,1,5.921421,-72.086603
113.2966,Cl* NGC  104    TUC    1335,Star,00 23 43.046,-72 04 06.03,,,,,,,,,,,,,,,,1,5.929358,-72.068342
113.5619,Cl* NGC  104    TUC    1332,Star,00 23 42.967,-72 04 06.19,,,,,,,,,,,,,,,,1,5.929029,-72.068386
113.8176,Cl* NGC  104    TUC    1763,Star,00 24 28.993,-72 04 20.76,70,60,0,,,15.69,,,12.68,12.12,12.01,,,,,1,6.120804,-72.072433
113.8704,Cl* NGC  104    FBV      27,Star,00 24 01.49900,-72 03 00.7340,0.022,0.018,90,4.922,-2.956,13.53,12.03,,,,,,,,,2,6.006246,-72.050204
113.9562,Cl* NGC  104    FBV      13,Star,00 23 49.25610,-72 06 19.6322,0.023,0.019,90,6.32,-2.154,13.5,12,,8.938,8.09,7.86,,,,,3,5.955234,-72.105453
114.8835,Cl* NGC  104   CHUN  6-305,V*,00 24 08.92,-72 02 59.5,70,60,0,,,13.48,11.8,,8.288,7.383,7.131,,,,,7,6.037167,-72.049861
114.9047,[FG2000] 47 Tuc 1,Radio,00 23 40.80,-72 05 12.2,,,,,,,,,,,,,,,,1,5.92,-72.086722
114.9146,[MA2000]  3,Radio,00 23 40.78,-72 05 11.7,,,,,,,,,,,,,,,,3,5.919917,-72.086583
115.0395,Cl* NGC  104    TUC    1665,Star,00 24 19.19854,-72 06 28.9114,0.028,0.019,90,6.013,-2.262,13.95,,,11.22,10.55,10.45,,,,,1,6.079994,-72.108031
115.3319,Cl* NGC  104    TUC    1321,Star,00 23 41.555,-72 05 28.41,70,60,0,,,14.14,,,12.1,11.5,11.42,,,,,1,5.923146,-72.091225
115.8667,CPD-72    36,Star,00 24 14,-72 06.7,,,,,,11,,,,,,,,,,1,6.058333,-72.111667
115.981,2MASS J00234736-7203322,AGB*,00 23 47.366,-72 03 32.28,70,60,0,,,14.115,13.007,,11.004,10.425,10.294,,,,,2,5.947358,-72.058967
116.0871,2MASS J00240996-7202592,RGB*,00 24 10.10993,-72 02 59.2058,0.038,0.039,90,4.605,-2.32,14.34,13.228,,9.98,9.14,7.892,,,,,3,6.042125,-72.049779
116.1486,Cl* NGC  104    FBV      20,Star,00 23 54.5,-72 06 38,,,,,,13.71,12.34,,,,,,,,,2,5.977083,-72.110556
116.2346,[MA2000] 11,Radio,00 24 30.38,-72 05 06.6,,,,,,,,,,,,,,,,2,6.126583,-72.085167
